chr,fromChrPos,toChrPos
1,1,5000001
1,5000001,10000001
1,10000001,15000001
1,15000001,20000001
1,20000001,25000001
1,25000001,30000001
1,30000001,35000001
1,35000001,40000001
1,40000001,45000001
1,45000001,50000001
1,50000001,55000001
1,55000001,60000001
1,60000001,65000001
1,65000001,70000001
1,70000001,75000001
1,75000001,80000001
1,80000001,85000001
1,85000001,90000001
1,90000001,95000001
1,95000001,100000001
1,100000001,105000001
1,105000001,110000001
1,110000001,115000001
1,115000001,120000001
1,120000001,125000001
1,125000001,130000001
1,130000001,135000001
1,135000001,140000001
1,140000001,145000001
1,145000001,150000001
1,150000001,155000001
1,155000001,160000001
1,160000001,165000001
1,165000001,170000001
1,170000001,175000001
1,175000001,180000001
1,180000001,185000001
1,185000001,190000001
1,190000001,195000001
1,195000001,200000001
1,200000001,205000001
1,205000001,210000001
1,210000001,215000001
1,215000001,220000001
1,220000001,225000001
1,225000001,230000001
1,230000001,235000001
1,235000001,240000001
1,240000001,245000001
1,245000001,250000001
